SensorA = target
SensorB = available
{bandsB; cwlsB; beta_hat} = bands, centre wavelengths, and coefficients in comma-delimited form
*) band numbers start counting at zero
**) centre wavelengths are expressed in nm
***) first coefficient listed is the constant

sensorA;bandA;cwlA;sensorB;{bandsB};{cwlsB};{beta_hat};AIC;var_y_given_X
landsat8_oli;2;482.042000;sentinel3_slstr;0, 1, 2, 3, 4, 5;555.0, 659.0, 865.0, 1375.0, 1610.0, 2250.0;0.00909814800926, 0.861550798852, -0.0159672911123, -0.0818209231282, 0.00445702417344, -0.144869627498, 0.181239678539;-818.741730;0.000097
landsat8_oli;2;482.042000;aqua;2, 3, 0, 1;466.07150204, 553.917076647, 645.8403499, 856.877853417;0.000148638105519, 0.947720051736, 0.0755426967335, 0.0116527123621, -0.00798351111902;-1286.631125;0.000002
landsat8_oli;2;482.042000;landsat5_tm;0, 1, 2, 3, 4, 5;485.0, 560.0, 660.0, 830.0, 1650.0, 2215.0;-2.92536718131e-05, 1.02426820036, -0.0406271099696, 0.0113855715499, 0.000301304526844, -0.00298226980547, 0.00363351386435;-1739.529741;0.000000
landsat8_oli;2;482.042000;landsat5_mss;0, 1, 2;550.0, 650.0, 750.0;0.00537317428929, 1.16575669522, -0.230041391583, -0.09769170705;-892.764103;0.000056
landsat8_oli;2;482.042000;terra;2, 3, 0, 1;465.742398799, 553.736229817, 646.295673296, 856.47984028;0.000151510824877, 0.946499035609, 0.077148084892, 0.0119408126995, -0.00818434474788;-1280.889726;0.000002
landsat8_oli;2;482.042000;vgt;0, 1;459.52, 662.04;-0.000112391478313, 1.02230313991, 0.0323190176328;-1156.511192;0.000007
landsat8_oli;2;482.042000;landsat8_tirs;0, 1;459.52, 662.04;-0.000112391478313, 1.02230313991, 0.0323190176328;-1156.511192;0.000007
landsat8_oli;2;482.042000;landsat4_tm;0, 1, 2, 3, 4, 5;485.0, 560.0, 660.0, 830.0, 1650.0, 2215.0;-2.42088497473e-05, 1.02534382089, -0.0418324223424, 0.0127017523536, 0.000160351688528, -0.0027227011281, 0.00311069076171;-1763.427042;0.000000
landsat8_oli;2;482.042000;landsat4_mss;0, 1, 2;550.0, 650.0, 750.0;0.00506876228929, 1.14701093298, -0.203600668692, -0.0962889475021;-905.915715;0.000051
landsat8_oli;2;482.042000;meris;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;412.433615778, 442.302283223, 489.626577523, 509.564329959, 559.440262161, 619.349162711, 664.322430724, 680.571670334, 708.080139841, 753.123045597, 760.007913967, 778.160657513, 864.627349057;2.29629683167e-05, -0.044710970326, 0.272788490095, 0.642760716089, 0.133972242812, -0.000739779088842, -0.0130654583966, 0.0511014645457, -0.0445582538744, 0.00469909803322, 0.000148724328904, -0.0111421254743, 0.0168362210553, -0.00613413383603;-1926.812028;0.000000
